OTU;C.Tu;C.Td;T.TTu;T.TTd;TT.CTu;TT.CTd;model.StARS_0.08;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-15298;0;0;0;0;0;0;1;13;1.113943352;40
OTU-154;1;0;0;1;0;1;0;10;1;33.33333333
OTU-15406;1;1;0;1;0;1;1;12;1.079181246;33.33333333
OTU-154938;0;0;0;0;0;0;0;13;1.113943352;53.33333333
OTU-155;1;0;0;1;0;1;0;4;0.602059991;20
OTU-1550;1;0;0;0;0;0;1;4;0.602059991;13.33333333
OTU-155136;1;0;0;1;0;0;1;6;0.77815125;26.66666667
OTU-15550;1;0;0;0;0;1;1;7;0.84509804;13.33333333
OTU-156719;0;0;0;0;0;0;1;328;2.515873844;66.66666667
OTU-157;1;0;1;0;0;1;1;57;1.755874856;40
OTU-15756;0;0;1;0;1;1;1;3;0.477121255;20
OTU-158;1;0;0;1;0;0;1;48;1.681241237;53.33333333
OTU-159;1;0;0;1;0;1;1;20;1.301029996;20
OTU-15950;1;0;0;1;0;1;0;93;1.968482949;73.33333333
OTU-16;1;1;0;1;1;1;1;12;1.079181246;40
OTU-160;1;0;0;1;0;1;1;22;1.342422681;60
OTU-1609;0;1;0;0;1;0;0;33;1.51851394;26.66666667
OTU-162;1;0;0;1;0;0;1;470;2.672097858;46.66666667
OTU-163;0;0;0;0;0;1;1;69;1.838849091;80
OTU-164;1;0;0;1;0;1;0;17;1.230448921;40
OTU-16428;0;0;0;0;0;0;0;288;2.459392488;86.66666667
OTU-166;1;0;1;0;0;1;0;216;2.334453751;93.33333333
OTU-167669;0;0;1;0;0;1;1;98;1.991226076;73.33333333
OTU-168;1;1;1;1;1;1;0;2;0.301029996;6.666666667
OTU-17;1;1;0;1;1;1;1;60;1.77815125;86.66666667
OTU-171;0;1;1;0;1;0;1;932;2.969415912;86.66666667
OTU-172;1;0;1;0;1;1;1;10;1;20
OTU-1728;1;0;1;0;1;0;1;449;2.652246341;86.66666667
OTU-173;0;1;1;0;1;1;1;28;1.447158031;46.66666667
OTU-173194;0;0;0;0;0;0;1;2;0.301029996;6.666666667
OTU-174;0;0;1;0;1;0;1;296;2.471291711;86.66666667
OTU-174236;1;0;0;1;0;1;1;1;0;6.666666667
OTU-174310;1;0;0;1;0;0;1;426;2.629409599;60
OTU-175;0;1;1;0;1;0;1;28;1.447158031;66.66666667
OTU-175435;1;0;0;0;0;1;1;17;1.230448921;26.66666667
OTU-176;0;0;1;0;1;0;1;19;1.278753601;33.33333333
OTU-176160;1;0;0;0;0;1;0;89;1.949390007;46.66666667
OTU-1764;1;1;1;0;1;0;1;121;2.08278537;60
OTU-176607;1;1;1;1;0;1;0;155;2.190331698;100
OTU-176920;1;0;0;0;0;0;1;259;2.413299764;100
OTU-178;0;1;1;0;1;0;1;3;0.477121255;20
OTU-180;0;0;1;0;1;0;1;55;1.740362689;86.66666667
OTU-18072;1;0;0;1;0;0;1;10312;4.013342904;100
OTU-181;1;0;1;0;1;1;0;64;1.806179974;60
OTU-182;0;0;0;0;1;1;0;6;0.77815125;33.33333333
OTU-1826;0;0;0;0;1;0;1;345;2.537819095;93.33333333
OTU-183568;1;0;0;1;0;0;1;58;1.763427994;53.33333333
OTU-184;0;0;1;0;1;0;1;14;1.146128036;26.66666667
OTU-1842;0;0;0;1;0;1;1;12;1.079181246;26.66666667
OTU-184205;1;0;1;1;0;1;1;8;0.903089987;26.66666667
OTU-1846;1;0;0;0;0;0;0;17;1.230448921;26.66666667
OTU-18500;1;0;0;0;0;1;1;324;2.51054501;86.66666667
OTU-185977;0;0;1;0;0;1;1;1351;3.130655349;93.33333333
OTU-18665;0;0;0;0;0;0;0;6;0.77815125;20
OTU-187;0;0;0;0;0;0;1;15;1.176091259;46.66666667
OTU-188100;0;0;0;0;0;1;1;55;1.740362689;60
OTU-188513;0;0;1;0;0;1;1;6;0.77815125;40
OTU-19;1;0;0;1;0;1;1;33;1.51851394;66.66666667
OTU-19077;0;0;0;0;0;0;0;8;0.903089987;26.66666667
OTU-190857;1;0;0;0;0;0;0;4;0.602059991;13.33333333
OTU-190958;1;0;0;1;0;0;0;17;1.230448921;60
OTU-191;1;1;1;0;1;0;1;54;1.73239376;93.33333333
OTU-191084;1;0;0;1;0;1;1;1011;3.004751156;100
OTU-1915;1;1;0;1;0;0;1;51;1.707570176;53.33333333
OTU-19169;0;0;1;0;1;0;1;20;1.301029996;60
OTU-1917;1;0;0;1;0;1;1;18;1.255272505;33.33333333
OTU-191899;1;1;1;1;0;1;1;1;0;6.666666667
OTU-192486;0;0;1;0;0;0;1;9;0.954242509;26.66666667
OTU-194;0;0;1;0;1;1;1;111;2.045322979;60
OTU-195;1;0;1;0;0;0;0;34;1.531478917;86.66666667
OTU-1954;0;0;1;0;0;1;0;39;1.591064607;60
OTU-195612;1;0;0;1;0;1;1;104;2.017033339;86.66666667
OTU-196;1;0;0;1;0;1;0;760;2.880813592;73.33333333
OTU-19600;1;0;0;1;0;0;0;344;2.536558443;93.33333333
OTU-19765;0;0;1;0;0;0;1;1046;3.019531685;93.33333333
OTU-199;1;0;1;0;1;1;1;10;1;13.33333333
OTU-19973;0;0;0;0;0;0;0;21;1.322219295;60
OTU-2;1;1;1;1;1;1;1;159;2.201397124;93.33333333
OTU-20;1;1;0;0;1;0;1;968;2.985875357;73.33333333
OTU-200;1;0;0;1;0;0;1;86;1.934498451;60
OTU-20067;0;0;0;0;0;0;0;24;1.380211242;53.33333333
OTU-202;0;0;1;0;1;0;1;4;0.602059991;26.66666667
OTU-20201;0;0;0;0;0;0;0;2552;3.40688067;100
OTU-203645;1;1;1;1;0;1;1;355;2.550228353;80
OTU-204;0;0;1;0;1;1;1;20;1.301029996;20
OTU-204040;0;0;1;0;0;1;0;2914;3.464489547;100
OTU-20425;0;0;1;0;1;1;1;382;2.582063363;93.33333333
OTU-20463;0;0;0;1;0;0;1;144;2.158362492;60
OTU-205;0;0;1;0;1;0;1;303;2.481442629;80
OTU-206;1;0;1;0;1;1;0;1;0;6.666666667
OTU-20621;0;0;0;0;0;0;0;2365;3.373831145;100
OTU-209;0;0;1;0;1;0;1;53;1.72427587;66.66666667
OTU-21;0;1;1;1;1;1;0;78;1.892094603;66.66666667
OTU-211197;0;0;1;0;1;1;1;242;2.383815366;73.33333333
OTU-212;0;1;0;1;0;0;0;31;1.491361694;73.33333333
OTU-212657;0;0;1;0;1;0;1;11;1.041392685;20
OTU-21324;0;0;0;0;0;0;1;39;1.591064607;53.33333333
OTU-216;1;0;1;0;0;1;1;135;2.130333768;60
OTU-2160;1;0;0;1;0;0;1;25;1.397940009;53.33333333
OTU-21690;0;0;1;0;0;1;1;8;0.903089987;40
OTU-218117;1;0;0;1;0;0;1;16;1.204119983;33.33333333
OTU-218135;1;0;1;1;1;1;1;61;1.785329835;80
OTU-218418;1;0;0;1;0;1;1;89;1.949390007;73.33333333
OTU-219;1;0;1;0;0;1;0;91;1.959041392;80
OTU-22;1;1;1;0;0;0;0;98;1.991226076;100
OTU-22043;0;0;0;0;0;0;0;5;0.698970004;13.33333333
OTU-222;1;1;1;0;1;1;0;68;1.832508913;46.66666667
OTU-2221;1;0;0;1;0;0;1;18;1.255272505;66.66666667
OTU-2223;1;0;0;1;0;0;1;10;1;40
OTU-223;1;0;1;1;0;1;1;32;1.505149978;66.66666667
OTU-225;0;0;1;0;1;0;1;12;1.079181246;46.66666667
OTU-2265;0;1;1;0;1;0;1;22;1.342422681;46.66666667
OTU-226660;0;1;0;1;1;1;0;58;1.763427994;80
OTU-22804;0;0;0;0;0;0;0;26;1.414973348;60
OTU-229;0;0;1;0;1;0;1;15;1.176091259;46.66666667
OTU-229303;0;0;1;0;1;0;1;94;1.973127854;60
OTU-23;1;0;1;1;0;1;0;26;1.414973348;53.33333333
OTU-230;1;1;0;1;0;1;1;24;1.380211242;53.33333333
OTU-232350;1;0;1;0;1;0;1;11;1.041392685;33.33333333
OTU-233;0;0;1;0;1;0;1;9;0.954242509;13.33333333
OTU-233301;0;0;0;0;0;0;0;67;1.826074803;93.33333333
OTU-234;1;0;1;0;0;1;1;196;2.292256071;66.66666667
OTU-234666;1;0;0;1;0;0;1;13;1.113943352;53.33333333
OTU-2348;0;0;0;0;0;0;0;31;1.491361694;80
OTU-2373;1;0;0;1;0;1;0;455;2.658011397;73.33333333
OTU-237787;0;0;0;0;0;1;0;137;2.136720567;73.33333333
OTU-238;0;0;1;0;0;1;1;51;1.707570176;60
OTU-2381;1;1;0;1;0;1;0;8;0.903089987;46.66666667
OTU-24;1;1;0;1;0;1;1;39;1.591064607;73.33333333
OTU-240;1;0;0;1;0;1;1;28;1.447158031;66.66666667
OTU-241;1;0;0;1;0;1;1;14;1.146128036;40
OTU-243;1;0;0;1;0;1;1;1018;3.007747778;100
OTU-244;0;0;1;0;1;1;1;14;1.146128036;40
OTU-24565;1;0;0;1;0;0;1;15;1.176091259;53.33333333
OTU-24607;0;0;1;0;0;0;1;139;2.1430148;66.66666667
OTU-24755;1;0;0;0;0;1;1;219;2.340444115;86.66666667
OTU-25;1;0;0;1;0;1;1;9;0.954242509;40
OTU-251;1;1;0;1;0;1;1;110;2.041392685;93.33333333
OTU-25147;1;0;0;1;0;0;0;59;1.770852012;46.66666667
OTU-252;0;0;1;0;1;0;1;94;1.973127854;60
OTU-25449;0;0;0;0;0;0;0;44;1.643452676;66.66666667
OTU-257;1;0;1;0;1;1;0;28;1.447158031;60
OTU-258;1;1;1;0;1;0;1;7;0.84509804;33.33333333
OTU-259;1;0;1;0;0;1;1;16;1.204119983;53.33333333
OTU-26;1;0;0;1;0;1;1;97;1.986771734;93.33333333
OTU-2618;1;0;1;1;0;1;1;1539;3.18723862;100
OTU-262;1;0;1;0;1;0;0;83;1.919078092;80
OTU-262261;1;1;1;1;1;1;0;147;2.167317335;53.33333333
OTU-26479;0;0;0;0;0;0;1;200;2.301029996;86.66666667
OTU-267;1;0;1;0;0;1;1;13;1.113943352;40
OTU-27;1;1;1;0;1;1;0;118;2.071882007;60
OTU-2700;0;0;1;0;0;1;1;26;1.414973348;66.66666667
OTU-270783;0;0;0;0;0;0;0;6;0.77815125;26.66666667
OTU-2713;0;0;1;0;0;0;1;31;1.491361694;60
OTU-272;1;0;1;0;1;1;0;2;0.301029996;6.666666667
OTU-27201;1;0;0;1;0;0;1;18;1.255272505;20
OTU-2768;1;0;0;1;0;0;1;66;1.819543936;80
OTU-278;0;0;1;0;0;1;1;24;1.380211242;73.33333333
OTU-2784;0;1;0;1;0;0;1;15;1.176091259;66.66666667
OTU-28;1;0;1;0;0;1;0;14;1.146128036;53.33333333
OTU-2802;1;0;0;1;0;1;1;36;1.556302501;53.33333333
OTU-2803;0;1;0;1;0;0;1;13;1.113943352;46.66666667
OTU-28052;0;0;0;0;0;0;0;50;1.698970004;66.66666667
OTU-2828;0;0;0;0;0;1;0;2415;3.382917135;100
OTU-28280;1;0;0;0;0;1;1;18;1.255272505;53.33333333
OTU-284;0;0;1;0;1;0;1;114;2.056904851;66.66666667
OTU-2843;1;0;1;0;0;1;1;9;0.954242509;40
OTU-285;1;1;1;0;1;1;1;35;1.544068044;60
OTU-28594;1;0;0;1;0;0;0;18125;4.258278015;100
OTU-28723;1;0;1;1;0;1;1;118;2.071882007;66.66666667
OTU-289;1;0;0;1;0;1;1;946;2.975891136;73.33333333
OTU-2895;1;0;0;1;0;1;1;311;2.492760389;93.33333333
OTU-29;1;1;0;1;0;1;1;21;1.322219295;33.33333333
OTU-2902;0;0;0;1;0;0;1;11;1.041392685;53.33333333
OTU-294;1;0;1;0;0;1;1;26;1.414973348;53.33333333
OTU-297;1;0;1;0;0;1;1;118;2.071882007;86.66666667
OTU-2975;1;0;0;1;0;0;1;11;1.041392685;26.66666667
OTU-29775;0;0;0;0;0;0;1;68;1.832508913;20
OTU-298;0;1;0;1;0;0;0;1;0;6.666666667
OTU-2982;1;0;0;0;0;0;1;10;1;33.33333333
OTU-29954;0;0;0;0;0;0;1;8;0.903089987;33.33333333
OTU-3;0;1;1;0;1;1;1;3;0.477121255;13.33333333
OTU-30;1;0;0;1;0;0;1;166;2.220108088;93.33333333
OTU-301;0;0;1;0;0;1;1;18;1.255272505;26.66666667
OTU-3017;0;1;0;1;0;0;1;7;0.84509804;13.33333333
OTU-3020;0;0;0;0;0;0;0;20;1.301029996;26.66666667
OTU-3046;1;0;0;1;0;1;1;2;0.301029996;13.33333333
OTU-306;1;0;0;1;0;1;1;73;1.86332286;100
OTU-313;1;0;0;1;0;1;0;3;0.477121255;20
OTU-3140;1;0;1;1;1;1;1;14;1.146128036;53.33333333
OTU-315;0;0;1;0;0;0;1;808;2.907411361;93.33333333
OTU-317;0;0;1;0;1;0;0;36;1.556302501;6.666666667
OTU-31785;0;0;0;0;0;0;1;459;2.661812686;80
OTU-3183;0;0;1;0;0;1;1;31;1.491361694;33.33333333
OTU-32;1;0;1;0;0;0;1;151;2.178976947;66.66666667
OTU-32096;1;0;0;0;0;0;1;13;1.113943352;13.33333333
OTU-32149;0;0;0;0;1;0;1;41;1.612783857;53.33333333
OTU-32176;0;0;1;0;0;0;1;18;1.255272505;46.66666667
OTU-323;0;0;1;0;1;0;1;79532;4.900541904;100
OTU-3230;0;0;0;0;0;1;0;8410;3.924795996;100
OTU-327;0;0;0;0;0;0;1;9;0.954242509;20
OTU-33;1;0;1;0;1;1;1;350;2.544068044;33.33333333
OTU-332;0;0;1;0;1;1;1;13;1.113943352;26.66666667
OTU-33440;1;0;0;0;0;0;1;2493;3.396722279;86.66666667
OTU-335;0;0;0;0;0;0;1;247;2.392696953;86.66666667
OTU-34;1;0;0;1;0;0;1;47;1.672097858;73.33333333
OTU-3464;0;0;1;0;0;0;1;19;1.278753601;66.66666667
OTU-349;1;1;1;0;1;1;1;14;1.146128036;26.66666667
OTU-35;1;1;0;1;1;1;0;441;2.644438589;86.66666667
OTU-35223;0;1;0;1;0;0;1;28;1.447158031;20
OTU-3539;1;0;0;1;0;1;1;10;1;33.33333333
OTU-35621;0;0;0;0;0;1;1;66;1.819543936;73.33333333
OTU-3597;0;0;0;0;0;1;0;12;1.079181246;33.33333333
OTU-35999;0;1;0;0;1;0;1;9;0.954242509;20
OTU-36;1;0;0;1;0;1;1;12;1.079181246;53.33333333
OTU-36019;0;0;1;0;0;0;0;6;0.77815125;33.33333333
OTU-36050;0;0;0;0;0;0;1;8;0.903089987;20
OTU-36088;1;0;0;1;0;0;1;5;0.698970004;13.33333333
OTU-361;1;0;1;0;0;1;0;15;1.176091259;20
OTU-36111;1;0;0;0;0;1;0;26;1.414973348;53.33333333
OTU-362;0;0;0;0;0;0;0;16;1.204119983;20
OTU-363;1;0;0;1;0;0;0;125;2.096910013;40
OTU-3634;1;1;0;0;1;1;1;219;2.340444115;73.33333333
OTU-364;1;0;0;1;0;1;0;39;1.591064607;53.33333333
OTU-367;0;0;0;0;0;0;1;4;0.602059991;13.33333333
OTU-37;1;0;1;0;1;0;1;29;1.462397998;66.66666667
OTU-370;1;0;0;1;0;0;1;5;0.698970004;33.33333333
OTU-37054;0;0;0;1;0;1;1;22;1.342422681;20
OTU-37078;0;0;0;0;0;1;0;62;1.792391689;60
OTU-3708;0;0;0;0;0;0;1;25;1.397940009;20
OTU-379;0;1;0;1;1;1;1;129;2.11058971;53.33333333
OTU-380;0;1;0;1;1;0;1;17;1.230448921;20
OTU-381;0;0;0;1;0;0;1;304;2.482873584;86.66666667
OTU-3818;1;0;0;1;0;0;1;7;0.84509804;33.33333333
OTU-384;0;0;0;0;0;0;1;4;0.602059991;13.33333333
OTU-39074;0;0;1;0;0;1;1;15;1.176091259;46.66666667
OTU-39397;0;0;0;0;0;0;0;207;2.315970345;53.33333333
OTU-4;1;1;1;1;1;0;1;42;1.62324929;73.33333333
OTU-40;0;0;1;0;0;0;0;6;0.77815125;20
OTU-40257;0;0;0;0;0;0;1;7;0.84509804;33.33333333
OTU-4030;1;0;0;1;0;1;0;4;0.602059991;6.666666667
OTU-404;1;1;0;1;0;1;1;127;2.103803721;33.33333333
OTU-407;0;0;0;0;0;0;1;11;1.041392685;13.33333333
OTU-41;1;1;0;1;0;1;1;47;1.672097858;26.66666667
OTU-410;1;1;0;1;0;1;1;24;1.380211242;40
OTU-413;1;1;0;1;0;0;1;4;0.602059991;6.666666667
OTU-41388;0;0;0;0;0;0;0;1;0;6.666666667
OTU-41493;1;0;0;0;0;0;0;26;1.414973348;66.66666667
OTU-415;1;0;1;0;0;1;1;894;2.951337519;93.33333333
OTU-42;0;1;1;0;0;1;1;6;0.77815125;26.66666667
OTU-422;0;1;0;1;1;0;0;11;1.041392685;33.33333333
OTU-42552;1;0;0;1;0;0;1;1313;3.118264726;80
OTU-427;1;0;1;0;0;1;1;11;1.041392685;20
OTU-42740;0;0;0;0;0;0;0;42;1.62324929;20
OTU-428;0;1;0;0;0;0;0;1;0;6.666666667
OTU-42810;1;0;0;1;0;1;0;32;1.505149978;26.66666667
OTU-4394;1;0;1;0;0;0;1;6;0.77815125;33.33333333
OTU-44169;1;1;1;1;1;0;1;8;0.903089987;40
OTU-4446;1;0;1;0;0;1;1;5;0.698970004;26.66666667
OTU-44759;0;0;1;0;0;0;1;8;0.903089987;33.33333333
OTU-45;1;0;0;0;0;0;0;9;0.954242509;20
OTU-452;1;1;0;1;0;0;0;142;2.152288344;86.66666667
OTU-460;1;1;1;1;1;1;1;8;0.903089987;33.33333333
OTU-46012;0;0;0;0;0;0;0;15;1.176091259;26.66666667
OTU-46599;0;1;0;0;0;0;1;5153;3.712060142;100
OTU-47;1;1;0;1;0;0;1;16;1.204119983;20
OTU-470;0;0;0;0;0;0;0;4;0.602059991;13.33333333
OTU-4750;1;0;1;1;1;1;1;2;0.301029996;13.33333333
OTU-47913;0;0;0;0;0;0;0;35;1.544068044;40
OTU-48;1;1;0;1;1;1;1;5;0.698970004;6.666666667
OTU-486;0;0;1;0;1;0;1;14;1.146128036;6.666666667
OTU-4869;1;0;0;0;0;0;1;196;2.292256071;80
OTU-4908;1;0;1;0;0;0;1;21;1.322219295;46.66666667
OTU-49349;0;0;1;0;1;0;1;109;2.037426498;66.66666667
OTU-498;0;0;0;0;0;0;0;778;2.890979597;100
OTU-5;0;1;0;1;0;1;0;58;1.763427994;80
OTU-504;1;0;0;1;0;1;0;64;1.806179974;60
OTU-5052;0;1;0;0;0;1;1;166;2.220108088;86.66666667
OTU-51076;0;0;0;0;0;0;0;33;1.51851394;40
OTU-51316;1;0;0;0;0;0;0;38;1.579783597;86.66666667
OTU-5146;0;0;0;1;0;1;1;1;0;6.666666667
OTU-51893;1;0;1;1;0;0;1;1682;3.225825991;100
OTU-52064;1;0;1;1;0;1;0;22;1.342422681;20
OTU-52066;0;1;0;1;1;0;1;652;2.814247596;80
OTU-5220;1;0;0;0;0;0;1;7;0.84509804;20
OTU-524;1;1;0;1;1;1;1;14;1.146128036;40
OTU-525;1;0;0;0;0;1;1;2;0.301029996;13.33333333
OTU-53;0;1;1;0;1;0;1;20;1.301029996;66.66666667
OTU-5381;0;1;1;1;1;0;1;45;1.653212514;66.66666667
OTU-540;1;1;0;1;1;1;0;38;1.579783597;33.33333333
OTU-54344;0;0;1;0;1;0;1;32;1.505149978;53.33333333
OTU-5466;1;0;0;1;0;0;1;4;0.602059991;13.33333333
OTU-5483;0;0;1;0;0;1;1;1;0;6.666666667
OTU-5486;0;0;0;0;0;0;1;19;1.278753601;13.33333333
OTU-5487;0;0;0;1;0;0;1;5;0.698970004;20
OTU-55;0;1;1;1;1;0;1;104;2.017033339;73.33333333
OTU-55048;1;0;0;1;0;1;1;29;1.462397998;73.33333333
OTU-5523;1;0;0;1;0;1;1;528;2.722633923;100
OTU-5532;1;0;0;1;0;0;1;50;1.698970004;93.33333333
OTU-554;1;1;0;1;0;0;1;54;1.73239376;80
OTU-5580;0;0;1;0;0;0;1;604;2.781036939;100
OTU-56;0;1;1;0;1;0;0;60;1.77815125;73.33333333
OTU-56132;1;0;0;0;0;1;1;48;1.681241237;66.66666667
OTU-56178;1;0;0;1;0;0;1;39;1.591064607;13.33333333
OTU-56361;0;0;0;0;0;0;0;193;2.285557309;73.33333333
OTU-5637;0;1;0;1;0;1;0;2;0.301029996;13.33333333
OTU-5653;1;0;0;1;0;1;1;35;1.544068044;46.66666667
OTU-5657;1;0;0;1;0;0;1;69;1.838849091;93.33333333
OTU-56961;0;0;0;0;0;0;0;7;0.84509804;40
OTU-574;1;0;0;0;0;0;0;32;1.505149978;80
OTU-5743;0;1;0;0;0;0;1;18;1.255272505;33.33333333
OTU-57700;1;0;0;1;0;1;1;25;1.397940009;66.66666667
OTU-579;1;0;0;1;0;0;1;3;0.477121255;13.33333333
OTU-58;1;1;0;1;0;0;1;33;1.51851394;53.33333333
OTU-5853;1;0;0;1;0;0;1;44;1.643452676;53.33333333
OTU-58828;1;0;1;0;1;1;1;44;1.643452676;66.66666667
OTU-59;1;1;1;0;1;1;1;111;2.045322979;80
OTU-5941;1;0;0;1;0;1;1;22;1.342422681;40
OTU-5966;1;0;1;0;0;1;1;15;1.176091259;33.33333333
OTU-597;1;0;1;0;1;1;1;2;0.301029996;13.33333333
OTU-6;1;0;1;0;1;0;1;9;0.954242509;20
OTU-60;0;1;0;1;0;1;1;15;1.176091259;26.66666667
