OTU;all_fltr;fltr_micro;fltr_susp;micro_fltr;susp_fltr;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-16434;1;1;1;0;0;441;2.644438589;15.06849315
OTU-360;1;1;1;0;1;308;2.488550717;33.56164384
OTU-36930;1;1;1;0;1;636;2.803457116;32.19178082
OTU-37953;1;1;1;0;1;373;2.571708832;25.34246575
OTU-33420;1;1;1;0;1;330;2.51851394;14.38356164
OTU-750;1;1;1;0;1;459;2.661812686;49.31506849
OTU-3635;1;1;1;0;1;587;2.768638101;48.63013699
OTU-104;1;1;1;1;0;2945;3.469085299;91.09589041
OTU-10179;1;1;1;0;0;120;2.079181246;5.479452055
OTU-334;1;1;1;0;1;2146;3.331629718;89.04109589
OTU-86;1;1;1;1;0;1572;3.196452542;90.4109589
OTU-190;1;1;0;1;0;2480;3.394451681;82.87671233
OTU-18292;1;1;1;1;0;293;2.46686762;44.52054795
OTU-3075;1;1;0;1;0;603;2.780317312;35.61643836
OTU-227;1;1;0;1;0;577;2.761175813;56.84931507
OTU-229;1;1;1;1;0;4659;3.66829271;91.78082192
OTU-181;1;1;1;1;0;1112;3.046104787;81.50684932
OTU-1357;1;1;1;0;1;302;2.480006943;45.89041096
OTU-136;1;1;1;1;1;2508;3.399327532;91.78082192
OTU-19704;1;1;1;1;0;841;2.924795996;84.24657534
OTU-6;1;1;1;1;0;19021;4.279233346;93.15068493
OTU-350;1;1;1;0;0;1498;3.175511813;91.78082192
OTU-70124;1;1;1;1;0;3353;3.525433553;86.98630137
OTU-10407;1;1;1;1;0;20814;4.31835555;93.15068493
OTU-10847;1;1;1;1;0;1843;3.265525335;73.97260274
OTU-2390;1;1;1;1;0;3131;3.495683068;87.67123288
OTU-148;1;1;1;1;0;4138;3.616790486;91.78082192
OTU-5369;1;1;1;1;0;1259;3.10002573;91.78082192
OTU-23;1;1;1;1;1;40175;4.603955885;92.46575342
OTU-74015;1;1;1;0;1;617;2.790285164;83.56164384
OTU-1551;1;1;1;1;0;1556;3.192009593;91.78082192
OTU-54534;1;1;1;1;0;2181;3.338655666;91.78082192
OTU-569;1;1;1;1;1;6224;3.794069584;91.78082192
OTU-60671;1;1;1;1;0;5784;3.762228284;91.78082192
OTU-1313;1;1;1;1;0;1451;3.161667412;91.78082192
OTU-17126;1;1;1;1;0;9496;3.977540706;86.98630137
OTU-756;1;1;1;1;0;403;2.605305046;77.39726027
OTU-16;1;1;1;1;0;6237;3.794975744;91.78082192
OTU-35999;1;1;1;1;0;1620;3.209515015;91.78082192
OTU-100;1;1;1;1;0;3012;3.478854968;89.04109589
OTU-373;1;1;1;1;1;3473;3.540704783;92.46575342
OTU-15981;1;1;1;1;0;1114;3.046885191;91.78082192
OTU-45;1;1;1;1;1;9024;3.955399087;85.61643836
OTU-53752;1;1;1;1;1;1271;3.104145551;77.39726027
OTU-5733;1;1;1;1;1;1269;3.103461622;85.61643836
OTU-60945;1;1;1;1;1;940;2.973127854;48.63013699
OTU-50745;1;1;1;1;0;282;2.450249108;45.89041096
OTU-2864;1;1;1;1;0;1399;3.145817714;93.83561644
OTU-10822;1;1;1;1;0;1900;3.278753601;91.78082192
OTU-665;1;1;1;1;0;560;2.748188027;82.87671233
OTU-26284;1;1;1;1;0;1143;3.05804623;84.24657534
OTU-167;1;1;1;1;1;5426;3.734479789;95.89041096
OTU-1673;1;1;1;1;0;1870;3.271841607;88.35616438
OTU-757;1;1;1;1;0;4573;3.660201201;95.89041096
OTU-30;1;1;1;1;0;9919;3.99646789;92.46575342
OTU-27;1;1;1;1;0;4885;3.688864568;91.78082192
OTU-261;1;1;1;1;0;1014;3.006037955;86.98630137
OTU-5044;1;1;0;1;0;196;2.292256071;44.52054795
OTU-67734;1;1;1;1;0;2417;3.38327665;83.56164384
OTU-52161;1;1;0;1;0;2107;3.323664536;86.30136986
OTU-776;1;1;1;1;0;4766;3.678154038;91.78082192
OTU-807;1;1;0;1;0;643;2.808210973;81.50684932
OTU-13;1;1;1;0;0;358;2.553883027;63.69863014
OTU-1177;1;1;1;0;1;996;2.998259338;88.35616438
OTU-11651;1;1;1;0;1;556;2.745074792;55.47945205
OTU-60;1;1;1;0;0;754;2.877371346;86.30136986
OTU-412;1;1;1;1;1;4809;3.682054777;91.78082192
OTU-26860;1;1;1;0;1;456;2.658964843;48.63013699
OTU-1708;1;1;1;0;0;456;2.658964843;72.60273973
OTU-19911;1;1;1;0;1;912;2.959994838;67.80821918
OTU-4773;1;1;1;0;1;485;2.685741739;54.10958904
OTU-512;1;1;1;1;0;1346;3.12904506;91.78082192
OTU-47;1;1;1;1;1;6789;3.831805809;92.46575342
