"""OTU"",""all"",""t0"",""micro"",""susp"",""all_fltr"",""fltr_t0"",""fltr_micro"",""fltr_susp"",""micro_fltr"",""susp_fltr"",""ASV total abundance"",""ASV total abundance (log10)"",""Prevalence"",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"OTU-172,1,1,1,1,1,1,1,1,1,0,3800,3.57978359661681,87.6712328767123,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Hyphomicrobiaceae"",""g__Devosia"",""s__"""
"OTU-13702,1,0,1,0,0,0,0,0,0,0,15,1.17609125905568,10.2739726027397,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-8183,1,1,1,1,0,0,0,0,0,0,31,1.49136169383427,15.7534246575342,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Xanthobacteraceae"",""g__"",""s__"""
"OTU-5028,1,1,1,1,0,0,0,0,0,0,74,1.86923171973098,35.6164383561644,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Rhizobiaceae"",""g__Kaistia"",""s__"""
"OTU-611,1,1,1,1,0,0,0,0,0,0,167,2.22271647114758,63.013698630137,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-4514,1,1,1,0,0,0,0,0,0,0,14,1.14612803567824,8.21917808219178,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-6503,1,0,1,0,0,0,0,0,0,0,290,2.46239799789896,69.1780821917808,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-7667,1,0,1,0,0,0,0,0,0,0,19,1.27875360095283,12.3287671232877,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-2737,1,1,1,1,0,0,0,0,0,0,276,2.44090908206522,67.1232876712329,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Methylocystaceae"",""g__"",""s__"""
"OTU-377,1,1,1,1,0,0,0,0,0,0,526,2.72098574415374,76.027397260274,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Methylocystaceae"",""g__Methylosinus"",""s__"""
