OTU;T0;C;A1;A3;HS;C_C;C_A1;A1_A1;C_A3;A3_A3;C_HS;HS_HS;A1_A3;A1_HS;A3_HS;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-231389;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1.146128036;6.666666667
OTU-231154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;1.591064607;6.666666667
OTU-217590;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;1.380211242;6.666666667
OTU-27756;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0.77815125;20
OTU-3117;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;504;2.702430536;80
OTU-14525;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;4;0.602059991;13.33333333
OTU-32750;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;36;1.556302501;40
OTU-278;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;396;2.597695186;73.33333333
OTU-5530;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;39;1.591064607;46.66666667
OTU-107000;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;14;1.146128036;40
OTU-45520;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;32;1.505149978;46.66666667
OTU-111423;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;24;1.380211242;40
OTU-48761;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;16;1.204119983;33.33333333
OTU-10391;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;6;0.77815125;40
OTU-38341;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1.079181246;20
OTU-392;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;247;2.392696953;66.66666667
OTU-96633;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;64;1.806179974;66.66666667
OTU-49241;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;56;1.748188027;40
OTU-54994;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;31;1.491361694;13.33333333
OTU-34235;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;13;1.113943352;26.66666667
OTU-32501;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;23;1.361727836;26.66666667
OTU-78447;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;67;1.826074803;33.33333333
OTU-6555;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;172;2.235528447;80
OTU-12765;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;7;0.84509804;20
OTU-230;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1192;3.076276255;93.33333333
OTU-227464;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;54;1.73239376;60
OTU-16851;1;1;1;0;0;0;1;1;1;0;1;0;1;1;0;137;2.136720567;60
OTU-189343;0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;15;1.176091259;46.66666667
OTU-93164;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;19;1.278753601;46.66666667
OTU-21417;0;1;1;0;0;1;1;1;0;0;1;0;1;1;0;105;2.021189299;53.33333333
OTU-136183;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;151;2.178976947;66.66666667
OTU-38431;1;1;1;0;0;1;1;1;0;0;1;0;1;1;0;41;1.612783857;60
OTU-122262;1;1;1;0;0;0;1;1;0;0;1;0;1;1;0;50;1.698970004;53.33333333
OTU-125344;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;13;1.113943352;26.66666667
OTU-12157;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;34;1.531478917;66.66666667
OTU-131788;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0.301029996;13.33333333
OTU-3604;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;140;2.146128036;80
OTU-1572;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1322;3.121231455;86.66666667
OTU-5356;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;12;1.079181246;33.33333333
OTU-12086;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;27;1.431363764;20
OTU-8905;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;13;1.113943352;40
OTU-18551;1;1;1;0;0;1;1;1;0;0;1;0;0;1;0;25;1.397940009;53.33333333
OTU-197036;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0.477121255;13.33333333
OTU-23832;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;65;1.812913357;66.66666667
OTU-3140;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1149;3.060320029;93.33333333
OTU-3106;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;85;1.929418926;73.33333333
OTU-114926;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;226;2.354108439;46.66666667
OTU-35711;1;1;1;0;0;1;1;1;0;0;1;0;1;1;0;89;1.949390007;60
OTU-3622;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;236;2.372912003;73.33333333
OTU-236514;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;29;1.462397998;20
OTU-10198;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1187;3.074450719;93.33333333
OTU-152397;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;15;1.176091259;20
OTU-14947;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;105;2.021189299;66.66666667
OTU-154634;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;192;2.283301229;93.33333333
OTU-22193;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;95;1.977723605;86.66666667
OTU-173570;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1;45;1.653212514;60
OTU-33;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2747;3.438858659;100
OTU-4063;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;10;1;46.66666667
OTU-1073;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;59;1.770852012;46.66666667
OTU-71919;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;24;1.380211242;20
OTU-19658;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;12;1.079181246;20
OTU-6699;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;34;1.531478917;26.66666667
OTU-6602;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;46;1.662757832;40
OTU-32204;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;27;1.431363764;40
OTU-236323;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;13;1.113943352;26.66666667
OTU-92427;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;54;1.73239376;33.33333333
OTU-74902;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;213;2.328379603;33.33333333
OTU-3220;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1180;3.071882007;100
OTU-10377;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;17;1.230448921;26.66666667
OTU-93527;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;77;1.886490725;73.33333333
OTU-20079;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;13.33333333
OTU-18220;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;156;2.193124598;73.33333333
OTU-35987;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;6;0.77815125;33.33333333
OTU-5966;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;151;2.178976947;73.33333333
OTU-684;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;7;0.84509804;46.66666667
OTU-21576;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;9;0.954242509;33.33333333
OTU-6574;1;1;0;1;0;1;0;0;0;1;1;0;1;1;1;11;1.041392685;60
OTU-16348;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;7;0.84509804;40
OTU-17624;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;5;0.698970004;20
OTU-57916;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;13.33333333
OTU-40860;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0.903089987;13.33333333
OTU-231557;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;21;1.322219295;13.33333333
OTU-231948;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1.041392685;6.666666667
OTU-11909;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;5;0.698970004;20
OTU-6749;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0.903089987;13.33333333
OTU-71081;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;48;1.681241237;13.33333333
OTU-92751;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;32;1.505149978;33.33333333
OTU-10962;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;1.556302501;6.666666667
OTU-14467;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0.77815125;20
OTU-3384;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;70;1.84509804;66.66666667
OTU-93835;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;20;1.301029996;26.66666667
OTU-232211;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;15;1.176091259;26.66666667
OTU-233562;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1.041392685;6.666666667
OTU-10419;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;9;0.954242509;26.66666667
OTU-92095;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;56;1.748188027;33.33333333
OTU-4944;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;26;1.414973348;20
OTU-12111;1;1;1;0;0;1;1;1;0;1;1;0;1;0;0;26;1.414973348;60
OTU-3492;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0.903089987;13.33333333
OTU-94514;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;1.903089987;6.666666667
OTU-232272;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1.113943352;6.666666667
OTU-60342;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;22;1.342422681;20
OTU-135518;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;17;1.230448921;20
OTU-6716;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;22;1.342422681;20
OTU-238963;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;1.505149978;6.666666667
OTU-231750;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1.342422681;6.666666667
OTU-231784;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1.322219295;6.666666667
OTU-12156;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1.361727836;13.33333333
OTU-17998;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;44;1.643452676;20
OTU-75015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;1.462397998;6.666666667
OTU-234554;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1.113943352;13.33333333
OTU-5229;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;42;1.62324929;26.66666667
OTU-45490;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;9;0.954242509;20
OTU-3063;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;338;2.5289167;80
OTU-17794;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;6.666666667
OTU-219003;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;21;1.322219295;46.66666667
OTU-28504;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;7;0.84509804;40
OTU-30643;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;21;1.322219295;20
OTU-5220;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;132;2.120573931;73.33333333
OTU-249506;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;14;1.146128036;20
OTU-15485;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;113;2.053078443;26.66666667
OTU-242537;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;43;1.633468456;26.66666667
OTU-77023;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;35;1.544068044;20
OTU-58781;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;36;1.556302501;40
OTU-20934;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;85;1.929418926;66.66666667
OTU-124085;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;14;1.146128036;33.33333333
OTU-78851;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0.602059991;6.666666667
OTU-404;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;361;2.557507202;86.66666667
OTU-120722;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;1;13.33333333
OTU-18035;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;28;1.447158031;33.33333333
OTU-59927;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;18;1.255272505;13.33333333
OTU-35113;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0.954242509;20
OTU-32871;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6.666666667
OTU-15199;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;13.33333333
OTU-81668;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1.204119983;6.666666667
OTU-58;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;2017;3.304705898;93.33333333
OTU-55867;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;67;1.826074803;46.66666667
OTU-69599;1;1;1;0;0;1;1;0;1;0;1;0;1;1;0;28;1.447158031;60
OTU-30789;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;24;1.380211242;20
OTU-233441;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;21;1.322219295;13.33333333
OTU-9916;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0;243;2.385606274;66.66666667
OTU-17696;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1.079181246;20
OTU-119902;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0.698970004;13.33333333
OTU-119901;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0.698970004;6.666666667
OTU-195891;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1.079181246;13.33333333
OTU-243239;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1.146128036;6.666666667
OTU-63388;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1.342422681;6.666666667
OTU-231905;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1.230448921;6.666666667
OTU-231718;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;29;1.462397998;20
OTU-120572;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0.698970004;6.666666667
OTU-41439;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;25;1.397940009;20
OTU-38418;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1.230448921;6.666666667
OTU-232048;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;6.666666667
OTU-232161;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1.113943352;6.666666667
OTU-236493;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1.113943352;6.666666667
OTU-241430;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1.477121255;6.666666667
OTU-231952;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0.954242509;6.666666667
OTU-231779;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;6.666666667
OTU-56010;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;136;2.133538908;20
OTU-59995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0.954242509;6.666666667
OTU-11741;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;55;1.740362689;46.66666667
OTU-166036;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;13;1.113943352;26.66666667
OTU-211441;1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;67;1.826074803;66.66666667
OTU-109435;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;20;1.301029996;26.66666667
OTU-3579;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;168;2.225309282;80
OTU-52300;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1.230448921;13.33333333
OTU-232745;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1.176091259;6.666666667
OTU-43690;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4;0.602059991;20
OTU-19583;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;257;2.409933123;66.66666667
OTU-96039;1;1;0;1;0;1;1;0;0;1;0;0;1;0;1;46;1.662757832;53.33333333
OTU-55647;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;15;1.176091259;26.66666667
OTU-89733;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;76;1.880813592;20
OTU-249208;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;104;2.017033339;33.33333333
OTU-18448;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;89;1.949390007;60
OTU-938;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;372;2.57054294;86.66666667
OTU-120605;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6.666666667
OTU-58976;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1.079181246;6.666666667
OTU-46625;0;1;1;0;0;1;1;1;0;0;1;0;1;0;1;29;1.462397998;53.33333333
OTU-11460;1;1;1;0;0;1;0;1;1;0;0;0;1;1;0;32;1.505149978;53.33333333
OTU-91495;0;0;1;0;0;1;1;1;1;0;1;1;1;1;0;130;2.113943352;60
OTU-233833;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1.176091259;6.666666667
OTU-55955;1;0;1;0;0;1;1;1;1;0;1;0;0;1;0;29;1.462397998;53.33333333
OTU-234757;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0.84509804;6.666666667
OTU-231916;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1.301029996;6.666666667
OTU-71111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0.84509804;6.666666667
OTU-119997;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;6.666666667
OTU-48260;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0.602059991;13.33333333
OTU-120256;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0.477121255;13.33333333
OTU-63394;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;4;0.602059991;20
OTU-72613;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0.77815125;13.33333333
OTU-70948;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;8;0.903089987;20
OTU-51698;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0.698970004;13.33333333
OTU-49924;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3;0.477121255;20
OTU-54544;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;13;1.113943352;20
OTU-132951;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;8;0.903089987;26.66666667
OTU-20303;0;1;0;1;0;0;0;0;1;1;0;0;1;0;1;10;1;40
OTU-101219;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;49;1.69019608;26.66666667
OTU-22546;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;6.666666667
OTU-146413;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;47;1.672097858;60
OTU-32162;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;9;0.954242509;46.66666667
OTU-138183;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;176;2.245512668;66.66666667
OTU-146281;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;75;1.875061263;60
OTU-137702;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;6.666666667
OTU-19196;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;31;1.491361694;20
OTU-6052;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;161;2.206825876;86.66666667
OTU-35227;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0.954242509;13.33333333
OTU-197452;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;6.666666667
OTU-6023;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;60;1.77815125;60
OTU-75465;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1.204119983;6.666666667
OTU-127626;1;0;1;0;0;0;1;1;1;1;0;0;1;0;1;18;1.255272505;53.33333333
OTU-88461;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0.698970004;13.33333333
OTU-126525;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;9;0.954242509;26.66666667
OTU-271;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;56;1.748188027;66.66666667
OTU-182184;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;14;1.146128036;40
OTU-118783;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0.301029996;13.33333333
OTU-35297;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;4;0.602059991;20
OTU-207830;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0.477121255;13.33333333
OTU-46280;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0.301029996;6.666666667
OTU-138484;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;23;1.361727836;33.33333333
OTU-102277;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;194;2.28780173;80
OTU-34998;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;43;1.633468456;93.33333333
OTU-101199;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;5;0.698970004;33.33333333
OTU-124571;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;27;1.431363764;13.33333333
OTU-2617;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;43;1.633468456;80
OTU-2313;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;57;1.755874856;93.33333333
OTU-192963;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;73;1.86332286;80
OTU-147439;1;1;1;0;0;1;0;0;0;1;1;0;1;1;0;24;1.380211242;53.33333333
OTU-107441;0;0;1;0;0;1;1;1;1;1;1;0;1;0;1;28;1.447158031;60
OTU-1096;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;808;2.907411361;93.33333333
OTU-104210;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;111;2.045322979;60
OTU-101193;0;0;0;0;0;1;1;1;0;0;1;0;1;1;0;28;1.447158031;40
OTU-960;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;384;2.584331224;93.33333333
OTU-95291;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1.079181246;13.33333333
OTU-100888;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;148;2.170261715;60
OTU-120292;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6.666666667
OTU-48394;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1600;3.204119983;93.33333333
OTU-107172;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;139;2.1430148;66.66666667
OTU-107259;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;9;0.954242509;40
OTU-268;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1475;3.16879202;93.33333333
OTU-56181;0;0;0;1;0;1;1;1;1;1;0;0;0;1;1;14;1.146128036;53.33333333
OTU-55537;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;7;0.84509804;26.66666667
OTU-7072;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1252;3.097604329;93.33333333
OTU-103006;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;28;1.447158031;46.66666667
OTU-119930;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0.301029996;13.33333333
OTU-30372;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;41;1.612783857;46.66666667
OTU-127570;0;0;0;0;0;1;1;1;1;0;1;0;0;1;0;7;0.84509804;40
OTU-12922;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;6.666666667
OTU-12306;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;10;1;20
OTU-48755;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;10;1;20
OTU-29716;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6.666666667
OTU-48863;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;16;1.204119983;53.33333333
OTU-80157;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;6.666666667
OTU-108152;1;0;0;1;0;1;0;0;1;1;0;0;1;0;1;13;1.113943352;46.66666667
OTU-135821;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0.954242509;13.33333333
OTU-234948;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;18;1.255272505;20
OTU-41066;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1.079181246;6.666666667
OTU-16064;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;15;1.176091259;33.33333333
OTU-102459;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;6;0.77815125;26.66666667
OTU-28638;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;46;1.662757832;80
OTU-103064;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;296;2.471291711;86.66666667
OTU-216;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;5955;3.774881766;93.33333333
OTU-30568;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;7;0.84509804;20
OTU-3087;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;372;2.57054294;73.33333333
OTU-343;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1922;3.283753383;100
OTU-52922;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;242;2.383815366;86.66666667
OTU-29272;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;26;1.414973348;80
OTU-94474;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1;50;1.698970004;73.33333333
OTU-15757;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0.698970004;13.33333333
OTU-18390;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;16;1.204119983;26.66666667
OTU-2427;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;44;1.643452676;80
OTU-47838;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1.176091259;6.666666667
OTU-40566;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;17;1.230448921;13.33333333
OTU-77992;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0.84509804;6.666666667
OTU-179056;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0.954242509;20
OTU-1668;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;4;0.602059991;20
OTU-22068;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;41;1.612783857;93.33333333
OTU-111599;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;11;1.041392685;20
OTU-46318;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0.301029996;13.33333333
OTU-3547;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;42;1.62324929;73.33333333
OTU-867;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;15;1.176091259;20
OTU-3576;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;94;1.973127854;80
