OTU;T0;C;A1;A3;HS;C_C;C_A1;A1_A1;C_A3;A3_A3;C_HS;HS_HS;A1_A3;A1_HS;A3_HS;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-168862;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;26;1.414973348;80
OTU-233632;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;131;2.117271296;73.33333333
OTU-71523;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;9;0.954242509;33.33333333
OTU-160147;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0.301029996;13.33333333
OTU-54913;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;106;2.025305865;80
OTU-131382;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;126;2.100370545;93.33333333
OTU-219;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5307;3.724849088;100
OTU-9767;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;70;1.84509804;100
OTU-20556;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;35;1.544068044;93.33333333
OTU-126561;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;109;2.037426498;93.33333333
OTU-14080;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;359;2.555094449;100
OTU-177724;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;68;1.832508913;40
OTU-85007;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;88;1.944482672;6.666666667
OTU-132130;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;250;2.397940009;93.33333333
OTU-105938;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;89;1.949390007;73.33333333
OTU-141055;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;44;1.643452676;80
OTU-130820;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;173;2.238046103;86.66666667
OTU-340;1;1;1;1;0;1;1;0;1;0;1;0;0;1;0;35;1.544068044;60
OTU-19384;1;1;1;0;1;0;1;1;0;0;1;0;1;1;1;63;1.799340549;66.66666667
OTU-164660;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;100;2;86.66666667
OTU-107264;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;110;2.041392685;93.33333333
OTU-10407;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;54;1.73239376;93.33333333
OTU-138337;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;35;1.544068044;60
OTU-18462;0;0;1;1;0;1;1;0;0;1;1;1;1;1;1;29;1.462397998;66.66666667
OTU-125383;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;64;1.806179974;86.66666667
OTU-222;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4777;3.679155241;100
OTU-101235;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;83;1.919078092;86.66666667
OTU-202470;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;291;2.463892989;93.33333333
OTU-150713;1;0;1;0;0;0;1;0;1;1;1;1;0;1;0;9;0.954242509;53.33333333
OTU-184135;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;7;0.84509804;33.33333333
OTU-174192;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;10;1;26.66666667
OTU-4034;0;0;1;0;1;1;1;1;0;0;1;1;1;1;1;67;1.826074803;66.66666667
OTU-91939;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;428;2.631443769;80
OTU-163552;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;57;1.755874856;60
OTU-35592;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;50;1.698970004;73.33333333
OTU-133441;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;11;1.041392685;40
OTU-83391;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;14;1.146128036;20
OTU-83303;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;198;2.29666519;40
OTU-84355;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;45;1.653212514;33.33333333
OTU-83930;1;0;1;0;1;0;1;1;0;1;0;1;1;1;1;26;1.414973348;66.66666667
OTU-3683;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;47;1.672097858;80
OTU-86470;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;354;2.549003262;80
OTU-74839;0;1;0;0;1;1;0;1;0;0;1;1;1;1;1;19;1.278753601;60
OTU-177649;0;1;1;0;1;1;1;0;0;0;1;0;1;1;0;10;1;53.33333333
OTU-22000;0;0;1;1;0;1;1;1;1;1;0;1;1;0;1;13;1.113943352;66.66666667
OTU-17873;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;87;1.939519253;100
OTU-3430;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;163;2.212187604;86.66666667
OTU-2760;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;3;0.477121255;20
OTU-252957;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;22;1.342422681;33.33333333
OTU-49709;1;1;0;1;1;1;1;0;0;1;1;0;0;1;1;35;1.544068044;66.66666667
OTU-683;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;133;2.123851641;60
OTU-49113;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;44;1.643452676;53.33333333
OTU-25177;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;11;1.041392685;20
OTU-231793;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1.204119983;13.33333333
OTU-64716;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;24;1.380211242;20
OTU-225089;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;45;1.653212514;13.33333333
OTU-19744;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;88;1.944482672;40
OTU-53206;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;41;1.612783857;40
OTU-234752;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;30;1.477121255;40
OTU-1724;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;284;2.45331834;73.33333333
OTU-17835;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;56;1.748188027;40
OTU-84272;0;1;0;0;1;0;0;1;0;0;1;1;1;0;1;951;2.978180517;46.66666667
OTU-88984;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;28;1.447158031;40
OTU-83757;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;64;1.806179974;26.66666667
OTU-89462;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;109;2.037426498;33.33333333
OTU-59576;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;56;1.748188027;33.33333333
OTU-78581;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;31;1.491361694;26.66666667
OTU-18036;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;50;1.698970004;33.33333333
OTU-57296;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;29;1.462397998;53.33333333
OTU-130417;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;10;1;20
OTU-123506;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;14;1.146128036;26.66666667
OTU-78166;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;20;1.301029996;53.33333333
OTU-349;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2561;3.408409578;100
OTU-21357;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;33;1.51851394;33.33333333
OTU-34844;1;1;1;0;0;1;1;0;0;0;0;1;1;1;1;16;1.204119983;60
OTU-72917;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;5;0.698970004;20
OTU-47926;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0.84509804;20
OTU-4914;1;1;1;1;0;0;1;1;1;0;0;0;1;1;0;57;1.755874856;60
OTU-47183;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;18;1.255272505;26.66666667
OTU-42347;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;6;0.77815125;20
OTU-25449;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;23;1.361727836;20
OTU-1418;1;1;1;1;0;0;1;0;1;1;0;0;1;0;1;25;1.397940009;60
OTU-18227;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;14;1.146128036;20
OTU-19124;0;1;0;1;0;1;0;0;1;0;1;0;1;1;1;16;1.204119983;53.33333333
OTU-6009;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;64;1.806179974;86.66666667
OTU-142000;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;126;2.100370545;86.66666667
OTU-19429;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;371;2.56937391;86.66666667
OTU-580;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;168;2.225309282;80
OTU-75162;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;5;0.698970004;20
OTU-15734;1;1;1;1;0;1;0;1;1;1;0;0;1;0;1;44;1.643452676;66.66666667
OTU-15572;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;42;1.62324929;26.66666667
OTU-75641;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;6.666666667
OTU-263806;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;16;1.204119983;26.66666667
OTU-2226;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;14;1.146128036;20
OTU-33929;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0.903089987;13.33333333
OTU-34152;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;7;0.84509804;33.33333333
OTU-64923;0;1;1;1;0;1;1;0;1;1;0;1;1;1;1;21;1.322219295;73.33333333
OTU-39451;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;92;1.963787827;20
OTU-1954;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;932;2.969415912;93.33333333
OTU-115848;0;0;1;0;0;1;1;1;1;1;0;0;1;1;1;25;1.397940009;60
OTU-48827;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0.903089987;6.666666667
OTU-28351;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;10;1;26.66666667
OTU-658;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;296;2.471291711;86.66666667
OTU-4136;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;132;2.120573931;60
OTU-39322;1;1;1;1;0;0;1;0;1;1;0;0;0;1;0;140;2.146128036;53.33333333
OTU-9732;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;94;1.973127854;60
OTU-235838;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;103;2.012837225;60
OTU-94875;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;37;1.568201724;26.66666667
OTU-71702;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;163;2.212187604;53.33333333
OTU-20028;1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;26;1.414973348;66.66666667
OTU-10189;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;49;1.69019608;53.33333333
OTU-50436;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;20;1.301029996;40
OTU-1874;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;16;1.204119983;40
OTU-14620;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;5;0.698970004;26.66666667
OTU-2091;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;57;1.755874856;46.66666667
OTU-142014;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;30;1.477121255;26.66666667
OTU-126932;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;87;1.939519253;13.33333333
OTU-101331;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;12;1.079181246;20
OTU-18966;0;1;1;1;0;0;1;1;0;0;0;0;1;0;0;42;1.62324929;40
OTU-93839;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;4;0.602059991;26.66666667
OTU-607;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;365;2.562292864;86.66666667
OTU-50740;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;237;2.374748346;80
OTU-101507;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;73;1.86332286;40
OTU-204676;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;6.666666667
OTU-5740;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;72;1.857332496;73.33333333
OTU-24607;0;0;0;1;0;1;1;1;1;1;1;0;1;0;1;388;2.588831726;60
OTU-106292;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;22;1.342422681;46.66666667
OTU-107833;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;26;1.414973348;66.66666667
OTU-101320;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;37;1.568201724;53.33333333
OTU-101796;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;74;1.86923172;33.33333333
OTU-46591;0;0;0;0;0;1;1;1;1;0;1;0;0;1;0;38;1.579783597;40
OTU-47195;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;43;1.633468456;20
OTU-19404;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;177;2.247973266;100
OTU-19610;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;22;1.342422681;33.33333333
OTU-26233;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;6;0.77815125;20
OTU-51538;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;9;0.954242509;33.33333333
OTU-159102;0;1;1;1;0;0;0;1;0;1;0;0;1;1;1;21;1.322219295;53.33333333
OTU-11462;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;4;0.602059991;20
OTU-101102;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;69;1.838849091;40
OTU-159460;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;6;0.77815125;20
OTU-25482;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;5;0.698970004;26.66666667
OTU-45;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;228;2.357934847;93.33333333
OTU-47523;0;0;1;1;0;0;1;1;1;0;0;0;1;1;1;28;1.447158031;53.33333333
OTU-11204;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4;0.602059991;13.33333333
OTU-125779;1;0;0;0;0;1;1;0;1;0;1;0;0;1;0;11;1.041392685;40
OTU-66517;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0.301029996;13.33333333
OTU-54977;0;0;1;0;0;1;1;1;1;1;1;0;1;1;0;56;1.748188027;60
OTU-29555;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6.666666667
OTU-16649;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;49;1.69019608;86.66666667
OTU-48327;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;162;2.209515015;66.66666667
OTU-12265;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;5;0.698970004;20
OTU-49863;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;0.602059991;20
OTU-49829;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;168;2.225309282;73.33333333
OTU-19351;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;199;2.298853076;86.66666667
OTU-182;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1147;3.059563418;93.33333333
OTU-131076;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;27;1.431363764;60
OTU-127223;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;12;1.079181246;40
OTU-131735;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;17;1.230448921;46.66666667
OTU-147183;0;0;1;0;0;1;1;0;0;1;1;0;1;1;1;17;1.230448921;53.33333333
OTU-272;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;4376;3.641077313;93.33333333
OTU-137429;0;1;0;0;0;1;1;1;1;1;0;0;1;0;1;24;1.380211242;53.33333333
OTU-54686;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;195;2.290034611;73.33333333
OTU-115650;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;110;2.041392685;80
OTU-47675;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;624;2.79518459;80
OTU-2192;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;297;2.472756449;93.33333333
OTU-47417;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;19;1.278753601;20
OTU-19507;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1.146128036;13.33333333
OTU-14926;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;629;2.798650645;100
OTU-5742;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;61;1.785329835;86.66666667
OTU-232106;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1.301029996;6.666666667
OTU-46692;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;5;0.698970004;26.66666667
OTU-1935;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;25;1.397940009;53.33333333
OTU-13562;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;33;1.51851394;66.66666667
OTU-52885;0;1;1;1;0;1;0;1;1;0;1;0;1;1;1;17;1.230448921;66.66666667
OTU-193;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1240;3.093421685;86.66666667
OTU-157785;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;12;1.079181246;33.33333333
