OTU;T0;Ctrl;US;pH2;pH11;Ox1;Ox2;FT;A1;A2;A3;F1;F2;F3;Fun1;Fun2;Pro;Na;HS;UV;C_C;C_Ox1;Ox1_Ox1;C_A1;A1_A1;C_A3;A3_A3;C_HS;HS_HS;C_pH2;pH2_pH2;C_pH11;pH11_pH11;C_F3;F3_F3;C_Fun1;Fun1_Fun1;C_Pro;Pro_Pro;C_UV;UV_UV;A1_A3;A1_HS;A3_HS;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-6343;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;15;1.176091259;22.72727273
OTU-86701;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;31;1.491361694;9.090909091
OTU-93697;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;333;2.522444234;81.81818182
OTU-2373;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2820;3.450249108;100
OTU-153328;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;133;2.123851641;72.72727273
OTU-181;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5610;3.748962861;100
OTU-174074;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;51;1.707570176;56.81818182
OTU-159459;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;170;2.230448921;81.81818182
OTU-69554;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1.342422681;11.36363636
OTU-115339;1;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;56;1.748188027;63.63636364
