OTU;T0;Ctrl;US;pH2;pH11;Ox1;Ox2;FT;A1;A2;A3;F1;F2;F3;Fun1;Fun2;Pro;Na;HS;UV;C_C;C_Ox1;Ox1_Ox1;C_A1;A1_A1;C_A3;A3_A3;C_HS;HS_HS;C_pH2;pH2_pH2;C_pH11;pH11_pH11;C_F3;F3_F3;C_Fun1;Fun1_Fun1;C_Pro;Pro_Pro;C_UV;UV_UV;A1_A3;A1_HS;A3_HS;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-188513;1;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;424;2.627365857;65.90909091
OTU-57464;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;133;2.123851641;31.81818182
OTU-32213;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1.255272505;4.545454545
OTU-2375;1;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;1.799340549;25
OTU-44245;1;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;39;1.591064607;31.81818182
OTU-123149;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;30;1.477121255;13.63636364
OTU-183411;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;153;2.184691431;11.36363636
OTU-71471;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;48;1.681241237;25
OTU-88648;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1.301029996;18.18181818
OTU-86727;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;1;616;2.789580712;72.72727273
OTU-13405;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;23;1.361727836;31.81818182
OTU-32189;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;143;2.155336037;59.09090909
OTU-166173;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0;1;1;0;1;0;0;0;1;0;1;0;1;0;163;2.212187604;63.63636364
OTU-177124;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42;1.62324929;27.27272727
OTU-3150;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3890;3.589949601;100
OTU-41321;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221;2.344392274;38.63636364
OTU-115740;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;16;1.204119983;25
OTU-13785;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;183;2.26245109;84.09090909
OTU-38369;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;49;1.69019608;45.45454545
OTU-74694;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;18;1.255272505;20.45454545
OTU-139172;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;21;1.322219295;25
OTU-232637;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;2.272727273
OTU-241669;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;45;1.653212514;29.54545455
OTU-169486;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;460;2.662757832;95.45454545
OTU-83998;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;75;1.875061263;20.45454545
OTU-238609;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;24;1.380211242;25
OTU-18937;1;1;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;60;1.77815125;31.81818182
OTU-229828;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;32;1.505149978;9.090909091
OTU-108536;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;28;1.447158031;20.45454545
OTU-30205;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;39;1.591064607;31.81818182
OTU-14730;1;1;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;39;1.591064607;54.54545455
OTU-231444;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;1.431363764;15.90909091
OTU-32826;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;187;2.271841607;54.54545455
OTU-24674;1;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;45;1.653212514;43.18181818
OTU-190596;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1.361727836;9.090909091
OTU-13437;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;230;2.361727836;56.81818182
OTU-237219;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;22;1.342422681;13.63636364
OTU-234284;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;49;1.69019608;27.27272727
OTU-6121;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;1;1;0;440;2.643452676;81.81818182
OTU-19176;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;57;1.755874856;27.27272727
OTU-236590;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;31;1.491361694;13.63636364
OTU-38028;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;239;2.378397901;43.18181818
OTU-49370;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;1.681241237;20.45454545
OTU-243108;1;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;33;1.51851394;31.81818182
OTU-49182;1;0;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;1.462397998;18.18181818
OTU-67092;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0.954242509;9.090909091
OTU-253371;1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;57;1.755874856;29.54545455
OTU-1069;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;183;2.26245109;72.72727273
OTU-33229;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;223;2.348304863;68.18181818
OTU-780;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;52;1.716003344;45.45454545
OTU-133285;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;25;1.397940009;11.36363636
OTU-8256;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;60;1.77815125;56.81818182
OTU-18112;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;15;1.176091259;31.81818182
OTU-10392;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;77;1.886490725;65.90909091
OTU-6214;1;1;1;1;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;1;0;302;2.480006943;65.90909091
OTU-16963;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;226;2.354108439;86.36363636
OTU-124669;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;77;1.886490725;50
OTU-20597;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;137;2.136720567;36.36363636
OTU-19119;1;1;0;0;0;1;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;123;2.089905111;22.72727273
OTU-171951;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;11.36363636
OTU-6114;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;55;1.740362689;59.09090909
OTU-17421;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;13;1.113943352;9.090909091
OTU-128367;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1.342422681;20.45454545
OTU-176784;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1.146128036;11.36363636
OTU-58128;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1.176091259;4.545454545
OTU-225465;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;1.113943352;4.545454545
OTU-237013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1.477121255;2.272727273
OTU-50380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;1;1;1;0;0;18;1.255272505;31.81818182
OTU-244712;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1.51851394;4.545454545
OTU-180601;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0.903089987;4.545454545
OTU-44579;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;90;1.954242509;9.090909091
OTU-62298;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1.146128036;6.818181818
OTU-237280;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1.301029996;9.090909091
OTU-16707;1;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1.255272505;18.18181818
OTU-54743;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1.176091259;18.18181818
OTU-18180;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;478;2.679427897;88.63636364
OTU-233318;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1.146128036;6.818181818
OTU-13216;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;92;1.963787827;56.81818182
OTU-47063;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;1.462397998;6.818181818
OTU-234110;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1.230448921;6.818181818
OTU-4321;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;317;2.501059262;72.72727273
OTU-162033;1;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;122;2.086359831;70.45454545
OTU-15671;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;21;1.322219295;29.54545455
OTU-56339;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;156;2.193124598;40.90909091
OTU-235264;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;39;1.591064607;20.45454545
OTU-86578;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;388;2.588831726;95.45454545
OTU-53748;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;33;1.51851394;29.54545455
OTU-363;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;2048;3.311329952;84.09090909
OTU-52577;1;1;1;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;28;1.447158031;27.27272727
OTU-20344;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;1;9.090909091
OTU-61103;1;0;1;1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1;32;1.505149978;50
OTU-7722;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;53;1.72427587;38.63636364
OTU-19756;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;210;2.322219295;84.09090909
OTU-55747;1;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1.342422681;22.72727273
OTU-2059;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;170;2.230448921;61.36363636
OTU-242140;1;1;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;104;2.017033339;45.45454545
OTU-74421;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1.230448921;9.090909091
OTU-8750;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;430;2.633468456;88.63636364
OTU-12409;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;1;1;0;88;1.944482672;59.09090909
OTU-23499;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;49;1.69019608;36.36363636
OTU-122293;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;59;1.770852012;45.45454545
OTU-2843;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3587;3.554731377;97.72727273
OTU-173422;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;17;1.230448921;29.54545455
OTU-11963;1;1;0;0;1;1;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;96;1.982271233;27.27272727
OTU-79566;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;24;1.380211242;13.63636364
OTU-20036;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;16;1.204119983;15.90909091
OTU-3867;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;208;2.318063335;77.27272727
OTU-101274;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;1;1;0;1;1;0;1;1;0;144;2.158362492;54.54545455
OTU-4234;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;1;1;1;0;178;2.250420002;63.63636364
OTU-77245;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;21;1.322219295;34.09090909
OTU-220136;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;45;1.653212514;45.45454545
OTU-128230;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;30;1.477121255;29.54545455
OTU-11052;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;170;2.230448921;86.36363636
OTU-56877;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;1.69019608;11.36363636
OTU-3656;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;183;2.26245109;79.54545455
OTU-12073;1;1;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;117;2.068185862;72.72727273
OTU-17435;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;1.176091259;11.36363636
OTU-49597;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;32;1.505149978;43.18181818
OTU-8699;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;97;1.986771734;47.72727273
OTU-77713;1;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;1;0;0;42;1.62324929;52.27272727
OTU-2744;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;112;2.049218023;72.72727273
OTU-93110;1;1;1;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;93;1.968482949;56.81818182
OTU-54729;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.602059991;6.818181818
OTU-14154;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;72;1.857332496;52.27272727
OTU-13938;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;1.431363764;22.72727273
OTU-35060;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;40;1.602059991;31.81818182
